"","county_name.x","cases_per_1000","deaths_per_1000","death_per_case","percent_employed_agriculture_forestry_fishing_hunting_mining","percent_employed_arts_entertainment_recreation_accommodation_food","percent_employed_construction","percent_employed_education_health_social","percent_employed_finance_insurance_real_estate","percent_employed_information","percent_employed_manufacturing","percent_employed_other_services_not_public_admin","percent_employed_public_administration","percent_employed_retail_trade","percent_employed_science_management_admin_waste","percent_employed_transportation_warehousing_utilities","percent_employed_wholesale_trade","percent_unemployed"
"68","Ector County",78.4749332237518,1.72719334292172,0.022009491081656,0.066724881857407,0.0411059174029176,0.0468332648448736,0.0769532052599137,0.0216573351140333,0.00365985206492706,0.0284954797616602,0.0311215841380727,0.0126040168481611,0.060291247174851,0.0300685740702692,0.0282707520032874,0.0182093692212862,0.0343448222724471
"69","Edwards County",98.0577925153955,1.42112742775936,0.0144927536231884,0.0601610611084794,0.00568450971103742,0.0487920416864045,0.0918995736617717,0.04405495026054,0.01468498342018,0.00284225485551871,0.034580767408811,0,0.0511605873993368,0.0113690194220748,0.0554239696826149,0,0.0227380388441497
"70","Ellis County",99.9622163176754,1.22492260439266,0.0122538560019509,0.00844648124222997,0.035937157204495,0.0386612388172489,0.0969882748701948,0.0300867805865003,0.00978109840821003,0.0664505277527241,0.0251322428881359,0.0178070838310216,0.0542439607049704,0.0451332179509056,0.0351205421348999,0.0151926967798552,0.0233344709065646
"71","El Paso County",128.831791093942,2.32384032581679,0.0180377863731032,0.00466325277752822,0.0416398646422903,0.0244254783936753,0.102903003623514,0.0202904800407271,0.00782319647830384,0.028235857814512,0.0176935285838349,0.0292085167550085,0.0480052705656874,0.0441817147306322,0.0281819543017998,0.0116359716108166,0.0306998472733807
"72","Erath County",84.6011312658475,1.02399063779988,0.0121037463976945,0.0410083869709382,0.0542715038033938,0.0244782523893115,0.106519407060659,0.0185049736688122,0.00465671932904232,0.059147649697679,0.030061439438268,0.0146771991417983,0.0465184318314804,0.0414716208308953,0.0163107080163838,0.00746050321825629,0.0210405695338405
"73","Falls County",75.6550407773729,1.27248539533808,0.0168195718654434,0.0234252993232691,0.0186823992133727,0.0277054774712245,0.0772745676441668,0.0144022210654173,0.00219792931922031,0.0520562207183758,0.0172942333275493,0.0167736711203656,0.0370755972005321,0.0126091734628955,0.0236566603042397,0.0108161258603736,0.021516571230262
"74","Fannin County",72.1875277473585,1.95341403498387,0.027060270602706,0.0131411489626188,0.0153017432740403,0.0345103146180484,0.104685233965726,0.0207180276437683,0.00438038298753959,0.0554355225382544,0.0191197797969633,0.0283245035072661,0.045668452363335,0.024003314884423,0.0213987628377778,0.0101222363630982,0.0216355402965638
"75","Fayette County",57.965789368265,1.72254937307215,0.0297166551485833,0.034731402475664,0.048271441733766,0.042663141449345,0.077114128910788,0.0282017385730882,0.00236349797700597,0.0554821135280215,0.0252373512798942,0.0183471537876057,0.0524376076593358,0.0280415014221047,0.0408204142130353,0.0120177863237592,0.00729079036974723
"76","Fisher County",68.6451612903226,2.58064516129032,0.037593984962406,0.0758709677419355,0.0185806451612903,0.0260645161290323,0.120774193548387,0.0126451612903226,0.00619354838709677,0.0348387096774194,0.0332903225806452,0.016258064516129,0.0438709677419355,0.0209032258064516,0.0350967741935484,0.00154838709677419,0.0263225806451613
"77","Floyd County",105.996976314463,4.19956324542248,0.0396196513470681,0.104149168486477,0.0196539559885772,0.0218377288761969,0.0920544263396607,0.0171342180413237,0.00117587770871829,0.0137745674449857,0.0146144800940702,0.0225096589954645,0.0339324710230136,0.0223416764656476,0.0431715101629431,0.00419956324542248,0.0278850999496052
"78","Foard County",64.3564356435644,3.53606789250354,0.0549450549450549,0.0502121640735502,0.016973125884017,0.0403111739745403,0.0954738330975955,0.0226308345120226,0,0.0247524752475248,0.0254596888260255,0.0219236209335219,0.0601131541725601,0.0183875530410184,0.0254596888260255,0.0162659123055163,0.053041018387553
"79","Fort Bend County",61.9422254895484,0.617074840354727,0.0099621031610956,0.0259269827570454,0.0315481269178166,0.0285386571383189,0.117421329986042,0.0327794653236269,0.00813723519547497,0.0418795621720472,0.019917882660197,0.0132607836991036,0.0513619924067465,0.065090853376552,0.023216913754303,0.0176548063664131,0.0268097230753661
"80","Franklin County",53.1064949713319,1.50390074255099,0.0283185840707965,0.0376915123601842,0.0291380768869255,0.0391014193063258,0.0791427765767459,0.0296080458689726,0.00206786352100761,0.0500046996898205,0.0171068709465175,0.0128771501080929,0.0670175768399286,0.014193063257825,0.0279161575336028,0.00742550991634552,0.0341197480966256
"81","Freestone County",50.2901353965184,1.52702840272829,0.0303643724696356,0.0467270691234857,0.0331365163392039,0.027130204621806,0.0862771047541484,0.0186297465132851,0.00407207574060878,0.0256031762190777,0.0210729919576504,0.0283518273439886,0.0324239030845974,0.026468492313957,0.0226509213071363,0.0052427975160338,0.0165937086429808
"82","Frio County",112.401883830455,1.25588697017268,0.0111731843575419,0.0595499738356881,0.0242804814233386,0.0326007326007326,0.0745682888540031,0.0106227106227106,0,0.0274201988487703,0.0124542124542125,0.0307692307692308,0.0365777080062794,0.0197278911564626,0.0252747252747253,0.00507587650444793,0.0284667713239142
"83","Gaines County",65.4633214339585,1.81004575393434,0.0276497695852535,0.0919101010608879,0.021217758560008,0.0638041128261853,0.0720498768163306,0.0083463220875861,0.00497762582331942,0.0131228317160239,0.0317260797425713,0.0130725526673035,0.027150686309015,0.0116647393031324,0.0365528684197295,0.0133742269596259,0.0191563175624717
"84","Galveston County",83.7463883630567,0.781483511009266,0.00933154881403822,0.010707258144864,0.0459861014247285,0.0366736823752117,0.115678240510113,0.0263618362060377,0.00603703795954967,0.0477452176945302,0.0217725665039354,0.0210689199960147,0.0425830676496961,0.0564224867988443,0.0219624887914716,0.0111462588422836,0.0323521719637342
